번호,시설유형,시설구분,시설명,읍면동,주 소,관리면적(제곱미터),데이터 기준일,lat,lon,"lat, lon","lat, lon 수정",final_location,formatted,status
1,축구장-축구장,NA,가덕생활체육공원축구장,가덕면,충청북도 청주시 상당구 가덕면 인차리 산25-1,79338.72,2025.4.21,36.5472212,127.5491425,"36.5472212,127.5491425","36.5472212, 127.5491425","36.5472212, 127.5491425",대한민국 충청북도 청주시 상당구 가덕면 인차리 산25-1,OK
2,테니스장-테니스장,생활,강내생활체육공원테니스장,강내면,충청북도 청주시 흥덕구 강내면 석화사인길 13-51,667.76756,2025.4.21,36.6249777,127.3544184,"36.6249777,127.3544184",X,"36.6249777,127.3544184",대한민국 충청북도 청주시 흥덕구 강내면 석화사인길 13-51,OK
3,축구장-축구장,생활,강내생활체육공원축구장,강내면,충청북도 청주시 흥덕구 강내면 석화사인길 13-45,4747.10008,2025.4.21,36.625209,127.3557298,"36.625209,127.3557298",X,"36.625209,127.3557298",대한민국 충청북도 청주시 흥덕구 강내면 석화사인길 13-45,OK
4,골프연습장-골프연습장,생활,호미골체육공원골프연습장,금천동,충청북도 청주시 상당구 수영로 380 (금천동),98827,2025.4.21,36.6248571,127.5118976,"36.6248571,127.5118976","36.631307, 127.515959","36.631307, 127.515959",대한민국 충청북도 청주시 상당구 금천동 380,OK
5,테니스장-테니스장,전문,청주국제테니스장,금천동,충청북도 청주시 상당구 호미로 242 (금천동),15854.52088,2025.4.21,36.6292988,127.5050798,"36.6292988,127.5050798","36.6292988, 127.5050798","36.6292988, 127.5050798",대한민국 충청북도 청주시 상당구 금천동 242,OK
6,전천후게이트볼장-전천후게이트볼장,생활,남이면전천후게이트볼장,남이면,충청북도 청주시 서원구 남이면 척산1길 29,NA,2025.4.21,36.5642591,127.4367878,"36.5642591,127.4367878",X,"36.5642591,127.4367878",대한민국 충청북도 청주시 서원구 남이면 척산1길 29,OK
7,전천후게이트볼장-전천후게이트볼장,생활,낭성면 전천후게이트볼장,낭성면,충청북도 청주시 상당구 낭성면 낭성시내길 77,2948.75576,2025.4.21,36.6231489,127.6100451,"36.6231489,127.6100451",X,"36.6231489,127.6100451",대한민국 충청북도 청주시 상당구 낭성면 낭성시내길 77,OK
8,수영장-수영장,생활,내수국민체육센터,내수읍,충청북도 청주시 청원구 내수읍 청암로 91-4,4469.41456,2025.4.21,36.7254832,127.5401994,"36.7254832,127.5401994",X,"36.7254832,127.5401994",대한민국 충청북도 청주시 청원구 내수읍 청암로 91-4,OK
9,기타시설-기타시설,생활,내수읍그라운드골프장,내수읍,충청북도 청주시 청원구 내수읍 도원세교로 126-23,1024.7918,2025.4.21,36.7033751,127.5411997,"36.7033751,127.5411997","36.733077, 127.527330","36.733077, 127.527330",대한민국 충청북도 청주시 청원구 내수읍 도원세교로 126-23,OK
10,육상경기장-육상경기장,생활,내수공설운동장,내수읍,충청북도 청주시 청원구 내수읍 도원세교로 343,37510.68566,2025.4.21,36.6966723,127.5571622,"36.6966723,127.5571622",X,"36.6966723,127.5571622",대한민국 충청북도 청주시 청원구 내수읍 도원세교로 343,OK
11,전천후게이트볼장-전천후게이트볼장,생활,내수읍전천후게이트볼장,내수읍,충청북도 청주시 청원구 내수읍 내수학평길51-2,1117.35364,2025.4.21,36.7276928,127.5389472,"36.7276928,127.5389472",X,"36.7276928,127.5389472",대한민국 충청북도 청주시 청원구 내수읍 내수학평길 51-2,OK
12,사격장-사격장,전문,청주종합사격장,내수읍,충청북도 청주시 청원구 내수읍 도원세교로 369,94685,2025.4.21,36.6989694,127.5589414,"36.6989694,127.5589414",X,"36.6989694,127.5589414",대한민국 충청북도 청주시 청원구 내수읍 도원세교로 369,OK
13,국궁장-국궁장,생활,내수국궁장(약수정),내수읍,충청북도 청주시 청원구 내수읍 도원세교로 343,13242.95468,2025.4.21,36.6966723,127.5571622,"36.6966723,127.5571622",X,"36.6966723,127.5571622",대한민국 충청북도 청주시 청원구 내수읍 도원세교로 343,OK
14,전천후게이트볼장-전천후게이트볼장,생활,문의면전천후게이트볼장,문의면,충청북도 청주시 상당구 문의면 문의시내1길 11-10,614.87508,2025.4.21,36.5165259,127.4959754,"36.5165259,127.4959754",X,"36.5165259,127.4959754",대한민국 충청북도 청주시 상당구 문의면 문의시내1길 11-10,OK
15,전천후게이트볼장-전천후게이트볼장,NA,북이게이트볼장,북이면,충청북도 청주시 청원구 북이면 용계내추로 465,NA,2025.4.21,36.7631582,127.5544267,"36.7631582,127.5544267",X,"36.7631582,127.5544267",대한민국 충청북도 청주시 청원구 북이면 용계내추로 465,OK
16,기타시설-기타시설,생활,북이다목적체육관,북이면,충청북도 청주시 청원구 북이면 신대석성로 11,1844,2025.4.21,36.7381771,127.54115,"36.7381771,127.54115","36.739697, 127.542300","36.739697, 127.542300",대한민국 충청북도 청주시 청원구 북이면 신대석성로 11,OK
17,육상경기장-육상경기장,전문,청주종합경기장 육상경기장,사직동,충청북도 청주시 서원구 사직대로 229 (사직동),170429,2025.4.21,36.6379449,127.4720381,"36.6379449,127.4720381",X,"36.6379449,127.4720381",대한민국 충청북도 청주시 서원구 사직대로 229,OK
18,축구장-축구장,전문,청주종합경기장 축구장,사직동,충청북도 청주시 서원구 사직대로 229 (사직동),170429,2025.4.21,36.6379449,127.4720381,"36.6379449,127.4720381",X,"36.6379449,127.4720381",대한민국 충청북도 청주시 서원구 사직대로 229,OK
19,체육관-구기체육관,전문,청주체육관,사직동,충청북도 청주시 서원구 사직대로 229 (사직동),170598.0827,2025.4.21,36.6379449,127.4720381,"36.6379449,127.4720381",X,"36.6379449,127.4720381",대한민국 충청북도 청주시 서원구 사직대로 229,OK
20,체육관-투기체육관,전문,충북스포츠센터,사직동,충청북도 청주시 서원구 흥덕로 37 (사직동),168594.78,2025.4.21,36.6387975,127.4722537,"36.6387975,127.4722537",X,"36.6387975,127.4722537",대한민국 충청북도 청주시 서원구 흥덕로 37,OK
21,체육관-투기체육관,전문,남궁유도회관,사직동,충청북도 청주시 서원구 흥덕로 55,5830,2025.4.21,36.6379449,127.4720381,"36.6379449,127.4720381","36.640291, 127.471909","36.640291, 127.471909",대한민국 충청북도 청주시 서원구 흥덕로 55,OK
22,체육관-구기체육관,생활,배드민턴·태권도장,사직동,충청북도 청주시 서원구 흥덕로 55 (사직동),2851.83029,2025.4.21,36.6379449,127.4720381,"36.6379449,127.4720381","36.6379449, 127.4720381","36.6379449, 127.4720381",대한민국 충청북도 청주시 서원구 흥덕로 55,OK
23,체육관-생활체육관,생활,올림픽기념국민생활관,사직동,충청북도 청주시 서원구 흥덕로 61 (사직동),5533.87572,2025.4.21,36.640775,127.4709113,"36.640775,127.4709113","36.640934, 127.4705866","36.640934, 127.4705866",대한민국 충청북도 청주시 서원구 흥덕로 61,OK
24,롤러스케이트장-롤러스케이트장,생활,청주롤러스케이트장,사직동,충청북도 청주시 서원구 흥덕로 61 (사직동),6736.518484,2025.4.21,36.640775,127.4709113,"36.640775,127.4709113","36.640775, 127.4709113","36.640775, 127.4709113",대한민국 충청북도 청주시 서원구 흥덕로 61,OK
25,수영장-수영장,생활,청주실내수영장,사직동,충청북도 청주시 서원구 흥덕로 61 (사직동),7775.19456,2025.4.21,36.640775,127.4709113,"36.640775,127.4709113",X,"36.640775,127.4709113",대한민국 충청북도 청주시 서원구 흥덕로 61,OK
26,야구장-야구장,전문,청주야구장,사직동,충청북도 청주시 서원구 사직대로 229 (사직동),170727.0081,2025.4.21,36.6379449,127.4720381,"36.6379449,127.4720381",X,"36.6379449,127.4720381",대한민국 충청북도 청주시 서원구 사직대로 229,OK
27,체육관-투기체육관,전문,장애인스포츠센터및근대5종훈련장,사천동,충청북도 청주시 청원구 사천로18번길 81 (사천동),6009.90804,2025.4.21,36.6778408,127.4790716,"36.6778408,127.4790716","36.679557, 127.478170","36.679557, 127.478170",대한민국 충청북도 청주시 청원구 사천로18번길,OK
28,테니스장-테니스장,생활,청주솔밭정구장,송정동,충청북도 청주시 흥덕구 대신로 157,8198.3344,2025.4.21,36.6469367,127.4328545,"36.6469367,127.4328545","36.6469367, 127.4328545","36.6469367, 127.4328545",대한민국 충청북도 청주시 흥덕구 대신로 157,OK
29,국궁장-국궁장,생활,청주국궁장(우암정),수동,충청북도 청주시 상당구 우암산로 114 (수동),9917.34,2025.4.21,36.6433469,127.4950056,"36.6433469,127.4950056","36.644510, 127.495916","36.644510, 127.495916",대한민국 충청북도 청주시 상당구 수동 114,OK
30,기타시설-기타시설,직장,생명과학단지 족구장,오송읍,충청북도 청주시 흥덕구 오송읍 오송생명2로 187,NA,2025.4.21,36.6394323,127.3301638,"36.6394323,127.3301638",X,"36.6394323,127.3301638",대한민국 충청북도 청주시 흥덕구 오송읍 오송생명2로 187,OK
31,기타체육시설(체력단련장)-기타체육시설(체력단련장),생활,생명과학단지 체력단련장,오송읍,충청북도 청주시 흥덕구 오송읍 오송생명2로 187,NA,2025.4.21,36.6394323,127.3301638,"36.6394323,127.3301638",X,"36.6394323,127.3301638",대한민국 충청북도 청주시 흥덕구 오송읍 오송생명2로 187,OK
32,축구장-축구장,직장,생명과학단지 축구장,오송읍,충청북도 청주시 흥덕구 오송읍 오송생명2로 187,NA,2025.4.21,36.6394323,127.3301638,"36.6394323,127.3301638",X,"36.6394323,127.3301638",대한민국 충청북도 청주시 흥덕구 오송읍 오송생명2로 187,OK
33,테니스장-테니스장,직장,생명과학단지 테니스장,오송읍,충청북도 청주시 흥덕구 오송읍 오송생명2로 187,NA,2025.4.21,36.6394323,127.3301638,"36.6394323,127.3301638",X,"36.6394323,127.3301638",대한민국 충청북도 청주시 흥덕구 오송읍 오송생명2로 187,OK
34,전천후게이트볼장-전천후게이트볼장,생활,강외면전천후게이트볼장,오송읍,충청북도 청주시 흥덕구 오송읍 가로수로 174,4142.14234,2025.4.21,36.6094577,127.3246389,"36.6094577,127.3246389","36.609007, 127.323921","36.609007, 127.323921",대한민국 충청북도 청주시 흥덕구 오송읍 가로수로 174,OK
35,테니스장-테니스장,생활,청원공설테니스장,오창읍,충청북도 청주시 청원구 오창읍 오창대로 197,4604.95154,2025.4.21,36.7148573,127.4185301,"36.7148573,127.4185301","36.714277, 127.417276","36.714277, 127.417276",대한민국 충청북도 청주시 청원구 오창읍 오창대로 197,OK
36,전천후게이트볼장-전천후게이트볼장,생활,오창다목적체육관게이트볼장,오창읍,충청북도 청주시 청원구 오창읍 오창대로 197,595.0404,2025.4.21,36.7148573,127.4185301,"36.7148573,127.4185301","36.714277, 127.417276","36.714277, 127.417276",대한민국 충청북도 청주시 청원구 오창읍 오창대로 197,OK
37,체육관-구기체육관,생활,오창스포츠센터,오창읍,충청북도 청주시 청원구 오창읍 두릉유리로 1141-12,2747.10318,2025.4.21,36.7430574,127.4551124,"36.7430574,127.4551124",X,"36.7430574,127.4551124",대한민국 충청북도 청주시 청원구 오창읍 두릉유리로 1141-12,OK
38,양궁장-양궁장,전문,오창양궁연습장,오창읍,충청북도 청주시 청원구 오창읍 양청5길 48,3104.12742,2025.4.21,36.7238397,127.4390628,"36.7238397,127.4390628","36.7311459, 127.4300187","36.7311459, 127.4300187",대한민국 충청북도 청주시 청원구 오창읍 양청5길 48,OK
39,야구장-야구장,생활,청원야구장,옥산면,충청북도 청주시 흥덕구 옥산면 남촌리 1109,8413.2101,2025.4.21,36.7028267,127.4045498,"36.7028267,127.4045498","36.698740, 127.402764","36.698740, 127.402764",대한민국 충청북도 청주시 흥덕구 옥산면 남촌리 1109,OK
40,축구장-축구장,생활,축구장(오창잔디구장),옥산면,충청북도 청주시 흥덕구 옥산면 남촌리 1109,8231.3922,2025.4.21,36.7028267,127.4045498,"36.7028267,127.4045498","36.6979836, 127.4039472","36.6979836, 127.4039472",대한민국 충청북도 청주시 흥덕구 옥산면 남촌리 1109,OK
41,축구장-축구장,NA,용정축구공원축구장,용정동,충청북도 청주시 상당구 1순환로1594번길 42,29752.02,2025.4.21,36.6341668,127.5180054,"36.6341668,127.5180054",X,"36.6341668,127.5180054",대한민국 충청북도 청주시 상당구 1순환로1594번길 42,OK
42,양궁장-양궁장,전문,김수녕양궁장,용정동,충청북도 청주시 상당구 1순환로1514번길 89 (용정동),73669,2025.4.21,36.6282861,127.52343,"36.6282861,127.52343","36.6282861, 127.52343","36.6282861, 127.52343",대한민국 충청북도 청주시 상당구 1순환로1514번길,OK
